Item,Gold (g),Aluminum (g),Silver (g),Carbon (g),Platinum (g),Rhodium (g),Nickel (g),Tin (g),Lithium (g)
OnePlus 9 Pro,0.43,1.01,0.84,0.61,0.07,0.08,0.49,1.19,0.38
Nintendo Switch,1.92,1.52,2.71,0.74,0.08,0.09,0.4,0.55,2.91
HP Spectre x360,1.42,1.29,2.29,0.97,0.19,0.1,0.65,0.68,0.85
Amazon Kindle,0.47,1.6,0.79,0.89,0.16,0.06,0.49,0.91,0.94
OnePlus 9 Pro,2.78,1.02,2.68,0.54,0.11,0.06,1.37,0.74,0.31
Lenovo ThinkPad X1,4.32,0.33,2.97,0.3,0.18,0.05,1.73,1.38,1.72
Xbox Series X,3.32,0.32,2.52,0.91,0.12,0.03,1.07,1.25,2.88
iPhone 11,2.55,0.41,2.45,0.12,0.05,0.08,0.2,0.71,1.89
Google Pixel 6,1.24,0.45,2.37,0.82,0.11,0.04,1.87,0.16,0.68
OnePlus 9 Pro,1.1,1.08,0.96,0.99,0.04,0.01,1.65,0.64,2.79
iPhone 11,2.68,0.37,0.83,0.21,0.16,0.05,1.31,0.93,2.79
Samsung Galaxy S20,2.84,1.3,1.25,0.54,0.17,0.02,0.14,1.5,1.16
HP Spectre x360,4.08,1.02,0.57,0.89,0.16,0.05,0.89,0.36,2.61
Canon EOS R5,0.24,1.93,2.02,0.67,0.1,0.06,1.91,0.47,0.63
Canon EOS R5,3.07,0.93,2.93,0.59,0.08,0.02,0.42,0.2,0.89
Nikon D3500,0.58,1.72,2.06,0.96,0.06,0.01,1.89,1.39,2.41
Google Pixel 6,2.75,1.7,1.02,0.13,0.07,0.08,0.99,0.18,1.49
OnePlus 9 Pro,4.01,0.11,2.51,0.78,0.12,0.08,1.8,0.2,1.68
LG OLED TV,4.53,1.04,0.12,0.54,0.05,0.09,1.18,0.47,1.47
Nikon D3500,2.82,1.34,2.48,0.75,0.18,0.02,0.39,0.93,1.87
Lenovo ThinkPad X1,0.14,0.52,1.88,0.67,0.16,0.03,1.09,1.24,0.49
iPhone 11,3.76,0.98,2.43,0.45,0.14,0.02,1.61,1.34,1.79
Apple Watch,1.29,1.66,2.65,0.37,0.07,0.08,1.21,0.82,2.62
LG OLED TV,0.11,1.51,2.13,0.49,0.09,0.06,1.4,0.95,2.27
LG OLED TV,1.93,0.55,0.91,0.69,0.08,0.05,0.33,0.52,2.15
Apple Watch,2.27,1.74,1.58,0.75,0.08,0.03,1.11,1.12,0.81
Raspberry Pi 4,0.55,1.85,2.68,0.58,0.08,0.07,1.17,1.04,0.54
Xbox Series X,3.48,1.45,1.66,0.81,0.17,0.07,0.49,0.9,2.96
Nintendo Switch,4.15,0.44,1.29,0.26,0.11,0.09,1.94,0.45,1.42
iPhone 11,0.18,1.25,1.39,0.25,0.06,0.08,1.58,0.91,0.3
Nintendo Switch,4.65,1.11,0.83,0.89,0.07,0.04,0.89,0.49,0.16
HP Spectre x360,1.5,1.82,0.5,0.13,0.2,0.06,0.83,0.22,0.59
Raspberry Pi 4,1.9,1.5,0.82,0.44,0.12,0.05,0.49,0.15,0.79
LG OLED TV,4.69,0.47,0.3,0.61,0.08,0.1,1.14,0.92,2.51
LG OLED TV,4.83,1.37,1.02,0.85,0.08,0.09,0.91,1.31,0.57
Canon EOS R5,4.19,1.57,2.09,0.21,0.14,0.03,1.29,1.09,2.5
Samsung Galaxy S20,4.52,0.59,1.67,0.54,0.09,0.07,1.65,0.59,2.3
