Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($)
iPhone 11,Cat3,3.58,2.95,1.73,8.92,1.91,1.01,1.82,1.27,9.51,270.34
Toaster,Cat2,7.21,4.31,6.21,5.63,9.59,7.65,0.51,3.03,4.22,689.75
Speaker,Cat4,8.91,5.09,2.42,7.7,1.09,1.49,7.42,3.63,8.83,570.43
Microwave Oven,Cat2,2.62,3.84,2.98,7.66,9.41,2.25,7.84,6.18,6.36,290.78
Air Conditioner,Cat1,3.47,3.89,6.2,4.35,5.07,8.65,8.62,0.82,5.53,505.16
Speaker,Cat4,8.91,9.15,4.85,1.72,8.1,1.1,9.05,0.26,6.52,703.05
Microwave Oven,Cat2,5.01,5.57,9.96,8.53,5.9,1.96,4.15,1.49,0.92,783.15
TV,Cat4,3.05,9.49,7.09,0.58,4.76,3.88,9.33,5.73,6.25,535.33
Monitor,Cat4,6.18,3.97,2.35,9.17,9.83,9.93,3.35,7.63,6.62,432.17
iPhone 11,Cat3,5.81,2.04,1.58,8.37,4.05,1.57,7.33,8.75,9.67,371.39
TV,Cat4,3.97,0.34,8.29,3.89,8.16,0.56,4.38,4.02,4.81,639.58
Stove,Cat1,0.64,6.21,1.66,4.95,6.68,0.27,5.94,6.41,1.2,124.05
Smartphone,Cat3,2.23,0.94,2.71,2.56,4.01,6.26,4.17,9.54,6.64,255.49
Monitor,Cat4,7.24,5.8,2.85,7.93,6.57,8.3,2.74,8.46,4.93,512.02
Audio Equipment,Cat4,6.22,5.68,9.21,7.22,4.26,9.1,3.9,4.19,6.42,802.59
iPhone 11,Cat3,9.62,7.18,6.12,8.81,7.85,6.99,2.22,1.47,3.24,804.96
Speaker,Cat4,1.21,9.17,9.91,4.31,2.82,5.17,5.42,5.45,0.43,595.83
Microwave Oven,Cat2,8.34,2.76,8.25,6.41,2.45,5.07,8.7,0.87,0.11,853.55
Laptop,Cat3,8.63,3.25,0.81,3.98,8.99,5.81,4.7,3.25,4.91,469.54
Toaster,Cat2,6.33,3.89,0.35,0.35,2.98,4.79,1.56,7.9,7.35,332.14
Stove,Cat1,3.28,3.3,8.14,6.86,9.04,6.02,2.12,4.93,6.16,599.44
Washing Machine,Cat1,8.69,1.17,8.55,9.02,7.73,8.77,1.05,1.57,1.85,886.05
Air Conditioner,Cat1,5.71,6.59,7.9,6.74,5.4,5.4,0.3,7.19,4.16,707.81
Stove,Cat1,6.67,4.08,2.18,9.5,2.88,4.13,5.7,6.36,3.65,447.0
Toaster,Cat2,8.47,1.1,8.87,8.35,1.1,0.33,5.28,5.56,6.9,892.1
iPhone 11,Cat3,3.15,5.47,8.41,8.21,4.49,6.2,6.91,6.22,6.96,608.71
Audio Equipment,Cat4,6.71,8.47,4.04,9.53,0.83,9.03,6.19,6.71,1.35,551.2
Vacuum Cleaner,Cat2,6.11,3.59,2.93,1.42,5.84,0.46,4.79,1.61,1.25,459.36
Tablet,Cat3,6.42,3.74,9.61,6.67,5.93,5.12,3.02,0.28,8.59,832.69
Audio Equipment,Cat4,4.01,3.58,4.65,1.68,7.18,2.25,5.45,3.21,2.48,448.38
Vacuum Cleaner,Cat2,2.68,6.64,9.78,2.47,8.47,7.12,3.16,6.46,0.19,659.76
Toaster,Cat2,5.34,7.11,3.88,5.0,3.28,3.01,9.42,0.21,5.46,474.46
Speaker,Cat4,2.19,6.22,3.52,2.81,5.2,0.3,2.53,3.79,3.58,299.86
Smartphone,Cat3,4.39,7.38,7.87,7.58,0.86,7.92,0.62,5.53,9.38,641.78
Vacuum Cleaner,Cat2,7.52,4.71,0.35,9.91,3.48,4.35,4.69,5.82,1.92,391.08
Air Conditioner,Cat1,7.74,7.45,7.55,8.01,2.36,6.03,8.57,3.12,5.46,789.26
Iron,Cat2,1.37,6.32,4.24,2.79,2.05,8.83,8.85,7.53,3.78,298.31
Laptop,Cat3,0.98,1.84,5.93,0.45,7.0,5.35,4.8,4.0,4.77,367.14
iPhone 11,Cat3,8.89,4.61,0.22,4.65,9.33,1.36,6.56,4.86,5.99,451.4
Fridge,Cat1,1.05,3.15,9.49,0.6,3.16,0.41,1.5,1.29,8.51,561.93
Washing Machine,Cat1,2.9,6.97,0.29,4.66,9.22,2.08,9.96,7.73,6.82,162.19
Air Conditioner,Cat1,9.86,3.01,3.8,9.32,3.62,9.37,4.9,0.18,1.26,690.04
Laptop,Cat3,7.78,2.94,9.7,6.81,4.38,6.57,0.67,1.43,6.93,903.88
Audio Equipment,Cat4,6.18,4.21,0.47,3.04,9.87,7.13,2.34,9.66,6.19,331.53
Fridge,Cat1,6.99,3.47,4.89,4.99,4.41,1.28,3.55,8.93,2.17,607.55
Audio Equipment,Cat4,9.87,1.59,7.2,7.37,1.91,2.12,4.76,8.99,3.77,871.73
Tablet,Cat3,5.72,8.92,6.67,9.6,6.96,4.11,4.68,0.39,4.38,643.73
iPhone 11,Cat3,6.2,4.64,4.75,1.19,2.48,5.24,5.95,7.04,6.75,561.94
