Item Name,Category,Brand Name,Device Age,Device Condition,Material Recovery Rate,Device Type,Year of Manufacture,Market Value of Metals,Cost of Recovery,Profit,Gold (g),Aluminum (g),Silver (g),Carbon (g),Platinum (g),Rhodium (g),Nickel (g),Tin (g),Lithium (g),Current Metal Value ($),Recycling Score
Toshiba Fire TV,Cat2,Panasonic,3,Broken,50.94,Consumer Electronics,2000,495.04,34.41,460.63,2.86,22.73,0.35,2.54,1.56,0.05,14.94,0.64,6.13,253.866639,4
LG Sound Bar,Cat4,Panasonic,12,Broken,92.22,Consumer Electronics,1996,494.41,10.02,484.39,3.8,46.69,0.04,2.42,0.45,0.78,1.98,4.96,4.48,658.490621,4
Nikon D850,Cat1,Sony,23,Good,76.64,Appliance,2002,700.2,10.89,689.31,4.8,44.67,1.59,2.58,0.62,0.79,11.73,1.05,6.74,723.642095,3
Amazon Echo,Cat4,Lenovo,9,Broken,69.67,Appliance,2024,533.94,7.37,526.57,4.46,22.94,2.4,6.13,0.58,0.77,0.25,0.28,5.03,693.3950580000002,4
JBL Charge 4,Cat3,Sony,17,Good,65.51,Consumer Electronics,2003,493.42,42.26,451.16,1.29,40.85,1.7,7.07,0.82,0.82,10.61,1.81,4.82,578.9266309999999,5
Surface Laptop 4,Cat2,Toshiba,20,Average,93.29,Consumer Electronics,1999,452.08,10.0,442.08,2.6,1.59,0.25,9.47,1.76,0.63,7.8,2.03,3.58,583.706983,4
Surface Laptop 4,Cat3,Samsung,11,Broken,50.5,Appliance,2018,413.34,12.32,401.02,1.33,43.07,1.94,5.12,1.99,0.94,0.76,0.86,3.03,712.149331,5
LG OLED TV,Cat4,Samsung,25,Broken,57.35,Appliance,1990,620.55,7.97,612.58,4.64,18.96,2.05,8.52,0.34,0.83,12.57,0.84,2.95,723.5254539999999,4
Panasonic Viera,Cat4,Toshiba,2,Average,64.87,IT Equipment,1999,499.96,37.03,462.93,2.19,30.33,0.32,4.45,1.77,0.21,13.36,4.45,5.63,323.87519499999996,4
Garmin Forerunner,Cat2,Lenovo,9,Average,87.44,Appliance,1996,485.16,39.95,445.21,3.3,48.97,1.35,8.44,0.44,0.64,12.66,1.78,0.51,553.614523,4
Harman Kardon Speaker,Cat1,Philips,27,Broken,83.39,IT Equipment,1997,559.74,38.2,521.54,3.39,32.57,1.93,2.72,1.78,0.56,8.76,2.47,4.02,584.5948970000002,3
Fitbit Versa 3,Cat3,Panasonic,28,Average,58.41,Consumer Electronics,2009,515.49,5.13,510.36,4.78,27.54,0.87,0.46,1.85,0.2,8.01,3.51,2.36,449.59298600000005,5
Nintendo Switch,Cat4,LG,1,Broken,72.84,IT Equipment,2021,426.62,15.13,411.49,3.17,34.78,1.1,7.57,0.51,0.82,6.15,0.19,1.02,653.8684839999999,4
Nintendo Switch,Cat1,Toshiba,5,Good,56.69,Consumer Electronics,1999,580.39,40.22,540.17,3.14,10.8,1.69,2.7,1.71,0.28,11.73,4.25,6.53,408.25304,3
Galaxy S21,Cat3,Lenovo,18,Good,89.38,Consumer Electronics,2013,384.01,41.58,342.43,4.04,12.72,0.1,3.14,0.35,0.16,2.97,2.54,4.4,309.57652399999995,5
Apple Watch Series 6,Cat3,Lenovo,22,Average,84.26,IT Equipment,1998,428.49,27.49,401.0,0.24,19.54,1.45,0.65,1.57,0.72,8.4,0.18,6.49,510.123848,5
Sony Alpha A7,Cat3,Dell,14,Broken,60.01,Appliance,2015,618.22,12.7,605.52,4.08,38.68,1.23,4.04,1.01,0.44,12.35,2.69,6.1,508.36142400000006,5
DJI Mavic Air 2,Cat1,Apple,19,Good,51.65,IT Equipment,1991,478.66,49.02,429.64,2.46,19.21,2.85,8.42,0.67,0.28,12.65,3.34,2.89,319.432299,3
LG Sound Bar,Cat2,HP,18,Average,78.05,Appliance,1992,433.87,39.85,394.02,2.16,12.7,0.41,1.65,1.0,0.48,5.71,4.08,5.86,435.770908,4
Garmin Forerunner,Cat1,Philips,26,Average,82.47,Consumer Electronics,2005,543.47,23.53,519.94,2.83,30.4,0.86,4.83,1.55,0.77,12.65,0.7,3.51,664.4351,3
Xbox Series X,Cat2,Toshiba,14,Good,77.78,Consumer Electronics,2018,481.99,44.01,437.98,0.36,2.84,1.04,5.65,0.31,0.97,14.12,3.38,5.62,591.535768,4
Nintendo Switch,Cat3,HP,24,Broken,82.13,Appliance,2023,522.55,23.33,499.22,4.99,0.55,1.53,6.5,0.29,0.99,3.33,4.94,0.16,829.049369,5
DJI Mavic Air 2,Cat2,Toshiba,22,Average,74.68,IT Equipment,1991,488.42,37.14,451.28,3.13,38.39,1.97,1.39,0.87,0.54,13.35,0.5,0.93,511.356785,4
Sony Bravia TV,Cat1,Dell,29,Average,63.73,Consumer Electronics,2011,433.54,48.57,384.97,3.51,48.42,0.02,5.17,0.48,0.62,7.93,0.75,1.98,553.91528,3
iPad Pro,Cat1,Apple,15,Good,82.6,Appliance,2010,273.19,41.47,231.72,1.31,7.61,1.52,9.6,0.89,0.03,1.5,2.12,5.04,130.704017,3
Lenovo Yoga,Cat2,Philips,19,Good,51.0,IT Equipment,2020,498.6,15.08,483.52,4.31,29.89,0.45,0.04,0.57,0.69,9.37,4.75,0.23,638.2791049999998,4
Galaxy Note 20,Cat2,Sony,12,Broken,72.9,Consumer Electronics,2014,274.38,6.68,267.7,1.88,9.12,1.6,2.39,0.08,0.31,7.72,1.03,0.05,275.37143799999996,4
Galaxy Note 20,Cat1,Philips,7,Average,51.71,Appliance,2005,384.34,8.96,375.38,3.24,2.23,1.7,8.51,0.42,0.26,8.45,2.74,0.95,331.941139,3
MacBook Air,Cat1,Toshiba,26,Broken,93.1,Consumer Electronics,2009,495.87,22.39,473.48,1.72,23.18,2.1,3.6,1.11,0.55,7.27,2.27,6.92,461.24185200000005,3
Roku Ultra,Cat2,Toshiba,5,Good,93.69,IT Equipment,2012,570.94,9.31,561.63,3.27,3.85,1.18,9.2,1.38,0.52,11.61,4.21,5.25,534.0398110000001,4
Xbox Series X,Cat2,LG,1,Good,91.81,Appliance,2009,352.6,10.68,341.92,1.18,27.31,2.3,2.04,0.35,0.15,5.38,0.38,6.61,164.817763,4
iPhone 11,Cat2,Panasonic,23,Good,64.08,IT Equipment,2022,488.55,27.25,461.3,3.28,47.68,2.82,4.46,1.3,0.1,10.98,1.09,2.84,290.32625399999995,4
iPhone 12,Cat1,Lenovo,21,Good,50.57,IT Equipment,2020,658.2,28.12,630.08,4.92,33.1,1.77,3.31,1.41,0.27,11.49,4.33,5.92,473.956958,3
iPhone 11,Cat4,Lenovo,8,Broken,80.04,Appliance,1998,417.64,14.31,403.33,1.39,19.63,2.63,3.9,0.33,0.62,11.99,4.65,0.59,443.11541500000004,4
Lenovo Yoga,Cat1,Philips,15,Broken,77.15,IT Equipment,2003,683.9,49.03,634.87,4.67,24.37,2.27,6.51,0.14,0.88,12.48,0.67,5.69,743.342817,3
Roku Ultra,Cat3,HP,22,Broken,72.23,IT Equipment,1991,450.86,42.04,408.82,1.81,22.66,0.67,9.6,1.35,0.72,5.73,4.07,4.6,574.8928820000001,5
JBL Charge 4,Cat2,Toshiba,26,Good,54.26,Consumer Electronics,2011,445.1,33.63,411.47,4.94,49.12,0.86,0.49,0.26,0.36,6.05,0.03,1.47,463.810238,4
